 Subject: Households 
 Topic : Households 
" Title  : M810371 - Resident Households By Household Size, Annual "
         HDB 1- And 2-Room Flats (Persons) , 4.14 , 4.05 , 3.98 , 3.77 , 3.49 , 3.46 , 3.43 , 3.17 , 3.12 , 2.91 , 2.87 , 2.84 , 2.82 , 2.74 , 2.64 , 2.54 , 2.46 , 2.31 , 2.2 , 2.19 , 2.07 , 1.96 , 2.04 , 2.04 , 2 , 2.01 , 2.09 , 2.12 , 2.11 , 2.24 , 2.36 , 2.38 , 2.32 , 2.24 , 2.16 , 2.19 , 2.08 ,
         HDB 3-Room Flats (Persons) , 5.1 , 4.92 , 4.83 , 4.62 , 4.43 , 4.35 , 4.22 , 4.13 , 4.18 , 4.01 , 3.94 , 3.91 , 3.81 , 3.76 , 3.63 , 3.5 , 3.37 , 3.19 , 3.11 , 3.01 , 2.93 , 2.85 , 2.81 , 2.8 , 2.77 , 2.76 , 2.77 , 2.77 , 2.78 , 2.77 , 2.79 , 2.74 , 2.7 , 2.69 , 2.67 , 2.63 , 2.58 ,
         HDB 4-Room Flats (Persons) , 5.51 , 5.37 , 5.27 , 4.92 , 4.74 , 4.65 , 4.53 , 4.48 , 4.56 , 4.42 , 4.36 , 4.32 , 4.27 , 4.26 , 4.15 , 4.07 , 4.01 , 3.88 , 3.95 , 3.87 , 3.75 , 3.75 , 3.73 , 3.76 , 3.69 , 3.65 , 3.66 , 3.66 , 3.66 , 3.65 , 3.63 , 3.58 , 3.53 , 3.49 , 3.46 , 3.42 , 3.34 ,
         HDB 5-Room And Executive Flats (Persons) , 4.76 , 4.69 , 4.61 , 4.65 , 4.46 , 4.42 , 4.33 , 4.33 , 4.46 , 4.35 , 4.37 , 4.4 , 4.27 , 4.22 , 4.1 , 4.05 , 4.09 , 4.06 , 4.13 , 3.97 , 3.96 , 3.96 , 3.93 , 4 , 3.93 , 3.93 , 3.93 , 3.93 , 3.96 , 3.99 , 3.98 , 3.94 , 3.88 , 3.89 , 3.84 , 3.77 , 3.71 ,
     Condominiums And Other Apartments (Persons) , 4.04 , 4.02 , 3.91 , 3.95 , 3.75 , 3.68 , 3.56 , 3.48 , 3.83 , 3.66 , 3.72 , 3.73 , 3.72 , 3.56 , 3.67 , 3.61 , 3.61 , 3.57 , 3.67 , 3.58 , 3.48 , 3.45 , 3.56 , 3.52 , 3.33 , 3.44 , 3.46 , 3.45 , 3.41 , 3.43 , 3.48 , 3.42 , 3.4 , 3.34 , 3.3 , 3.24 , 3.26 ,
     Landed Properties (Persons) , 4.91 , 4.88 , 4.89 , 4.85 , 4.61 , 4.68 , 4.59 , 4.46 , 4.86 , 4.57 , 4.61 , 4.65 , 4.53 , 4.69 , 4.48 , 4.3 , 4.39 , 4.31 , 4.65 , 4.33 , 4.19 , 4.3 , 4.33 , 4.54 , 4.22 , 4.22 , 4.32 , 4.28 , 4.39 , 4.38 , 4.35 , 4.33 , 4.32 , 4.3 , 4.28 , 4.29 , 4.17 ,
     Other Types Of Dwelling (Persons) , 5.17 , 5.23 , 5.13 , 4.77 , 4.8 , 4.86 , 4.21 , 4.11 , 3.74 , 3.42 , 3.51 , 3.49 , 3.26 , 3.14 , 3.32 , 3.3 , 3.31 , 3.12 , 3.05 , 3.17 , 3.43 , 2.98 , 2.85 , 2.91 , 2.94 , 3.04 , 3.09 , 2.98 , 2.65 , 3.21 , 2.99 , 3.38 , 3.02 , 2.92 , 2.65 , 2.85 , 2.67 ,



"A resident household refers to a household headed by a resident (i.e. Singapore citizen or permanent resident).  The household size refers to the total number of members in the household, including domestic workers."

AVERAGE HOUSEHOLD SIZE AMONG RESIDENT HOUSEHOLDS 
    TOTAL HDB DWELLINGS - Data for years prior to 2018 includes non-privatised Housing and Urban Development Corporation (HUDC) flats.
        HDB 1- AND 2-ROOM FLATS - Includes HDB studio apartments.
SOURCE: SINGAPORE DEPARTMENT OF STATISTICS




Generated by: SingStat Table Builder 
Date generated: 12/07/2019
Contact: info@singstat.gov.sg 
